min,CH1,CH2,CH40,CH41,CH42,
54.0572,6.87049,0.0518799,6.84682,27.2727,123649,
54.0573,6.86668,0.0396729,6.84804,27.2727,121988,
54.0573,6.86191,0.0518799,6.84922,27.2727,118568,
54.0573,6.8562,0.0366211,6.85035,27.2727,113190,
54.0574,6.85048,0.0396729,6.85141,27.2727,105773,
54.0574,6.84477,0.0427246,6.85238,27.2727,96426.9,
54.0574,6.84,0.0457764,6.85323,27.2727,85441.5,
54.0575,6.83524,0.0396729,6.85396,27.2727,73177.7,
54.0575,6.83238,0.0427246,6.85456,27.2727,60060.4,
54.0575,6.82953,0.0457764,6.85503,27.2727,46571.9,
54.0576,6.82857,0.0457764,6.85536,27.2727,33154.5,
54.0576,6.82953,0.0457764,6.85556,27.2727,20392.9,
54.0576,6.83143,0.0427246,6.85565,27.2727,8909.31,
54.0577,6.83429,0.0427246,6.85564,27.2727,-911.488,
54.0577,6.8381,0.0366211,6.85556,27.2727,-8813.87,
54.0577,6.84286,0.0427246,6.85541,27.2727,-14571.2,
54.0578,6.84858,0.0366211,6.85523,27.2727,-17984.1,
54.0578,6.85429,0.0396729,6.85504,27.2727,-18969.1,
54.0578,6.86096,0.0335693,6.85487,27.2727,-17549.1,
54.0579,6.86668,0.0457764,6.85473,27.2727,-13843.8,
54.0579,6.87334,0.0396729,6.85465,27.2727,-8061.62,
54.0579,6.88001,0.0518799,6.85464,27.2727,-311.039,
54.058,6.88477,0.0396729,6.85473,27.2727,9121.29,
54.058,6.88954,0.0366211,6.85493,27.2727,19696.8,
54.058,6.89335,0.0366211,6.85524,27.2727,31008.3,
54.0581,6.8962,0.0396729,6.85567,27.2727,42680.5,
54.0581,6.89716,0.0305176,6.85621,27.2727,54188.7,
54.0581,6.89716,0.0427246,6.85686,27.2727,64963.5,
54.0582,6.89525,0.0457764,6.8576,27.2727,74486.6,
54.0582,6.89239,0.0427246,6.85843,27.2727,82288.5,
54.0582,6.88763,0.0396729,6.85931,27.2727,87946.1,
54.0583,6.88287,0.0366211,6.86022,27.2727,91170.6,
54.0583,6.87811,0.0427246,6.86114,27.2727,91976.6,
54.0583,6.87144,0.0396729,6.86204,27.2727,90386.9,
54.0584,6.86572,0.0457764,6.86291,27.2727,86341,
54.0584,6.85905,0.0366211,6.86371,27.2727,79973.4,
54.0584,6.85334,0.0427246,6.86442,27.2727,71505.3,
54.0585,6.84762,0.0366211,6.86503,27.2727,61237.5,
54.0585,6.84286,0.0457764,6.86553,27.2727,49541.7,
54.0585,6.8381,0.0366211,6.8659,27.2727,36763.5,
54.0586,6.83429,0.0427246,6.86613,27.2727,23223.3,
54.0586,6.83048,0.0335693,6.86622,27.2727,9216.99,
54.0586,6.82857,0.0427246,6.86617,27.2727,-4892.93,
54.0587,6.82667,0.0366211,6.86598,27.2727,-18684.4,
54.0587,6.82572,0.0366211,6.86567,27.2727,-31862.4,
